gap_mm,magnet_thickness_mm,current_A,stator_OD_mm,magnet_inner_diameter_mm,magnet_seat_diameter_mm,rotor_OD_mm,turns,torque_Nm,torque_mNm,Bgap_peak_T,Bgap_average_T
0.7,2.5,2,38.5,39.9,44.9,50.5,20,0.003994640020183797,3.994640020183797,0.5414246145614999,0.3836784517890785
0.7,2.5,3,38.5,39.9,44.9,50.5,20,0.005992004920660778,5.992004920660778,0.5419645263639397,0.3836914733791443
0.7,3,1,38.5,39.9,45.9,51.5,20,0.002222261459332724,2.222261459332724,0.5884403593651343,0.4241404659844799
0.7,3,2,38.5,39.9,45.9,51.5,20,0.004444542166725735,4.444542166725735,0.5891181324936857,0.4241526281691858
0.7,3,3,38.5,39.9,45.9,51.5,20,0.006666842130828041,6.666842130828041,0.5897959211925185,0.4241651577787669
0.8,1.5,1,38.5,40.1,43.1,48.7,20,0.001355309630986021,1.355309630986021,0.4001753700825796,0.2690196992249351
0.8,1.5,2,38.5,40.1,43.1,48.7,20,0.002710623267303802,2.710623267303802,0.3999636234916466,0.2690325377692421
0.8,1.5,3,38.5,40.1,43.1,48.7,20,0.004065940982156496,4.065940982156495,0.3997519285443777,0.2690459899017042
0.8,2,1,38.5,40.1,44.1,49.7,20,0.001666040095381192,1.666040095381192,0.4736168451746459,0.3263818568173167
0.8,2,2,38.5,40.1,44.1,49.7,20,0.003332089303001042,3.332089303001042,0.4735797203267255,0.3263950134562236
0.8,2,3,38.5,40.1,44.1,49.7,20,0.004998147622568716,4.998147622568716,0.4735434012147953,0.3264086518796277
0.8,2.5,1,38.5,40.1,45.1,50.7,20,0.00192564578864429,1.92564578864429,0.5168270333695101,0.3739617379745641
0.8,2.5,2,38.5,40.1,45.1,50.7,20,0.003851321759039302,3.851321759039302,0.5167507047933876,0.3739739310920746
0.8,2.5,3,38.5,40.1,45.1,50.7,20,0.005777027911762791,5.777027911762791,0.5166743798134654,0.3739865285937706
0.8,3,1,38.5,40.1,46.1,51.7,20,0.002141889745796137,2.141889745796137,0.5647477666776443,0.4134001833611571
0.8,3,2,38.5,40.1,46.1,51.7,20,0.004283799799190546,4.283799799190546,0.5651510053654225,0.4134122075274607
0.8,3,3,38.5,40.1,46.1,51.7,20,0.006425730144044688,6.425730144044688,0.5655544977498902,0.4134245916036182
0.9,1.5,1,38.5,40.3,43.3,48.9,20,0.001304942596941616,1.304942596941616,0.3814652135832061,0.2618450795196048
